Level 1,Level 1 (Arabic),Level 2,Level 2 (Arabic),Level 3,Level 3 (Arabic),Level 1 Keywords & Synonyms,Level 2 Keywords & Synonyms,Level 3 Keywords & Synonyms
Retail,تجارة التجزئة,Home & Furniture,منزل وأثاث,Furniture,أثاث,Retail; تجارة التجزئة,Home & Furniture; منزل وأثاث,Furniture; أثاث
Retail,تجارة التجزئة,Home & Furniture,منزل وأثاث,Carpets,سجاد,Retail; تجارة التجزئة,Home & Furniture; منزل وأثاث,Carpets; سجاد
Retail,تجارة التجزئة,Home & Furniture,منزل وأثاث,Curtains,ستائر,Retail; تجارة التجزئة,Home & Furniture; منزل وأثاث,Curtains; ستائر
Retail,تجارة التجزئة,Home & Furniture,منزل وأثاث,Lighting,إضاءة,Retail; تجارة التجزئة,Home & Furniture; منزل وأثاث,Lighting; إضاءة
Retail,تجارة التجزئة,Home & Furniture,منزل وأثاث,Kitchenware,أدوات مطبخ,Retail; تجارة التجزئة,Home & Furniture; منزل وأثاث,Kitchenware; أدوات مطبخ
Retail,تجارة التجزئة,Home & Furniture,منزل وأثاث,Home Decor,ديكور المنزل,Retail; تجارة التجزئة,Home & Furniture; منزل وأثاث,Home Decor; ديكور المنزل
Retail,تجارة التجزئة,Home & Furniture,منزل وأثاث,Bedding,مفروشات,Retail; تجارة التجزئة,Home & Furniture; منزل وأثاث,Bedding; مفروشات
Retail,تجارة التجزئة,Stationery & Books,قرطاسية وكتب,Bookshops,مكتبات,Retail; تجارة التجزئة,Stationery & Books; قرطاسية وكتب; stationery store; paper goods store,Bookshops; مكتبات
Retail,تجارة التجزئة,Stationery & Books,قرطاسية وكتب,School Supplies,أدوات مدرسية,Retail; تجارة التجزئة,Stationery & Books; قرطاسية وكتب; educational institution; education center; stationery store; paper goods store,School Supplies; أدوات مدرسية
Retail,تجارة التجزئة,Stationery & Books,قرطاسية وكتب,Office Supplies,لوازم مكتبية,Retail; تجارة التجزئة,Stationery & Books; قرطاسية وكتب; stationery store; paper goods store,Office Supplies; لوازم مكتبية
Retail,تجارة التجزئة,Stationery & Books,قرطاسية وكتب,Comics & Magazines,قصص مصورة ومجلات,Retail; تجارة التجزئة,Stationery & Books; قرطاسية وكتب; stationery store; paper goods store,Comics & Magazines; قصص مصورة ومجلات
Automotive,السيارات,Dealerships,معارض السيارات,New Cars,سيارات جديدة,Automotive; السيارات,Dealerships; معارض السيارات; dealer; car dealer; automobile dealer,New Cars; سيارات جديدة
Automotive,السيارات,Dealerships,معارض السيارات,Used Cars,سيارات مستعملة,Automotive; السيارات,Dealerships; معارض السيارات; dealer; car dealer; automobile dealer,Used Cars; سيارات مستعملة
Automotive,السيارات,Dealerships,معارض السيارات,Certified Used,سيارات معتمدة,Automotive; السيارات,Dealerships; معارض السيارات; dealer; car dealer; automobile dealer,Certified Used; سيارات معتمدة
Automotive,السيارات,Service & Repair,خدمة وإصلاح,Workshops,ورشات,Automotive; السيارات,Service & Repair; خدمة وإصلاح; services; support; fixing; servicing; maintenance,Workshops; ورشات
Automotive,السيارات,Service & Repair,خدمة وإصلاح,Diagnostics,تشخيص,Automotive; السيارات,Service & Repair; خدمة وإصلاح; services; support; fixing; servicing; maintenance,Diagnostics; تشخيص
Automotive,السيارات,Service & Repair,خدمة وإصلاح,Body Shop,سمكرة,Automotive; السيارات,Service & Repair; خدمة وإصلاح; services; support; fixing; servicing; maintenance,Body Shop; سمكرة
Automotive,السيارات,Service & Repair,خدمة وإصلاح,Electrical,كهرباء,Automotive; السيارات,Service & Repair; خدمة وإصلاح; services; support; fixing; servicing; maintenance; electric services; electrical works,Electrical; كهرباء
Automotive,السيارات,Service & Repair,خدمة وإصلاح,Paint,دهان,Automotive; السيارات,Service & Repair; خدمة وإصلاح; services; support; fixing; servicing; maintenance,Paint; دهان
Automotive,السيارات,Service & Repair,خدمة وإصلاح,Glass Repair,إصلاح زجاج,Automotive; السيارات,Service & Repair; خدمة وإصلاح; services; support; fixing; servicing; maintenance,Glass Repair; إصلاح زجاج
Automotive,السيارات,Tires & Batteries,إطارات وبطاريات,Tire Shops,محلات إطارات,Automotive; السيارات,Tires & Batteries; إطارات وبطاريات; tyres; tyres and batteries; wheels; accumulators,Tire Shops; محلات إطارات
Automotive,السيارات,Tires & Batteries,إطارات وبطاريات,Battery Stores,محلات البطاريات,Automotive; السيارات,Tires & Batteries; إطارات وبطاريات; tyres; tyres and batteries; wheels; accumulators,Battery Stores; محلات البطاريات
Automotive,السيارات,Tires & Batteries,إطارات وبطاريات,Wheel Alignment,وزن الأذرعة,Automotive; السيارات,Tires & Batteries; إطارات وبطاريات; tyres; tyres and batteries; wheels; accumulators,Wheel Alignment; وزن الأذرعة
Automotive,السيارات,Car Wash & Detailing,غسيل وتلميع,Automatic Car Wash,غسيل سيارات آلي,Automotive; السيارات,Car Wash & Detailing; غسيل وتلميع; auto wash; car cleaning,Automatic Car Wash; غسيل سيارات آلي
Automotive,السيارات,Car Wash & Detailing,غسيل وتلميع,Manual Car Wash,غسيل يدوي,Automotive; السيارات,Car Wash & Detailing; غسيل وتلميع; auto wash; car cleaning,Manual Car Wash; غسيل يدوي
Automotive,السيارات,Car Wash & Detailing,غسيل وتلميع,Detailing,تلميع,Automotive; السيارات,Car Wash & Detailing; غسيل وتلميع; auto wash; car cleaning,Detailing; تلميع
Automotive,السيارات,Car Wash & Detailing,غسيل وتلميع,Ceramic Coating,طبقة السيراميك,Automotive; السيارات,Car Wash & Detailing; غسيل وتلميع; auto wash; car cleaning,Ceramic Coating; طبقة السيراميك
Automotive,السيارات,Car Rentals & Leasing,تأجير سيارات,Short-Term Rental,تأجير قصير المدى,Automotive; السيارات,Car Rentals & Leasing; تأجير سيارات; rental services; hire services; car hire; vehicle rental,Short-Term Rental; تأجير قصير المدى
Automotive,السيارات,Car Rentals & Leasing,تأجير سيارات,Long-Term Leasing,تأجير طويل الأجل,Automotive; السيارات,Car Rentals & Leasing; تأجير سيارات; rental services; hire services; car hire; vehicle rental,Long-Term Leasing; تأجير طويل الأجل
Automotive,السيارات,Car Rentals & Leasing,تأجير سيارات,Luxury Cars,سيارات فاخرة,Automotive; السيارات,Car Rentals & Leasing; تأجير سيارات; rental services; hire services; car hire; vehicle rental,Luxury Cars; سيارات فاخرة
Automotive,السيارات,Car Rentals & Leasing,تأجير سيارات,Chauffeur Services,خدمة سائق,Automotive; السيارات,Car Rentals & Leasing; تأجير سيارات; rental services; hire services; services; support; car hire; vehicle rental,Chauffeur Services; خدمة سائق
Automotive,السيارات,Spare Parts,قطع غيار,Original Spare Parts,قطع غيار أصلية,Automotive; السيارات,Spare Parts; قطع غيار; auto parts; car parts; replacement parts,Original Spare Parts; قطع غيار أصلية
Automotive,السيارات,Spare Parts,قطع غيار,Aftermarket Parts,قطع غيار بديلة,Automotive; السيارات,Spare Parts; قطع غيار; auto parts; car parts; replacement parts,Aftermarket Parts; قطع غيار بديلة
Automotive,السيارات,Spare Parts,قطع غيار,Auto Accessories,اكسسوارات السيارات,Automotive; السيارات,Spare Parts; قطع غيار; auto parts; car parts; replacement parts,Auto Accessories; اكسسوارات السيارات
Health & Medical,الصحة والطب,Hospitals,مستشفيات,General Hospitals,مستشفيات عامة,Health & Medical; الصحة والطب,Hospitals; مستشفيات; medical center; healthcare facility,General Hospitals; مستشفيات عامة
Health & Medical,الصحة والطب,Hospitals,مستشفيات,Specialized Hospitals,مستشفيات متخصصة,Health & Medical; الصحة والطب,Hospitals; مستشفيات; medical center; healthcare facility,Specialized Hospitals; مستشفيات متخصصة
Health & Medical,الصحة والطب,Hospitals,مستشفيات,Government Hospitals,مستشفيات حكومية,Health & Medical; الصحة والطب,Hospitals; مستشفيات; medical center; healthcare facility,Government Hospitals; مستشفيات حكومية
Health & Medical,الصحة والطب,Hospitals,مستشفيات,Private Hospitals,مستشفيات خاصة,Health & Medical; الصحة والطب,Hospitals; مستشفيات; medical center; healthcare facility,Private Hospitals; مستشفيات خاصة
Health & Medical,الصحة والطب,Clinics,عيادات,General Clinics,عيادات عامة,Health & Medical; الصحة والطب,Clinics; عيادات; medical center; health clinic,General Clinics; عيادات عامة
Health & Medical,الصحة والطب,Clinics,عيادات,Dental Clinics,عيادات أسنان,Health & Medical; الصحة والطب,Clinics; عيادات; medical center; health clinic,Dental Clinics; عيادات أسنان
Health & Medical,الصحة والطب,Clinics,عيادات,Dermatology Clinics,عيادات جلدية,Health & Medical; الصحة والطب,Clinics; عيادات; medical center; health clinic,Dermatology Clinics; عيادات جلدية
Health & Medical,الصحة والطب,Clinics,عيادات,Pediatrics Clinics,عيادات أطفال,Health & Medical; الصحة والطب,Clinics; عيادات; medical center; health clinic,Pediatrics Clinics; عيادات أطفال
Health & Medical,الصحة والطب,Clinics,عيادات,Gynecology Clinics,عيادات نسائية,Health & Medical; الصحة والطب,Clinics; عيادات; medical center; health clinic,Gynecology Clinics; عيادات نسائية
Health & Medical,الصحة والطب,Clinics,عيادات,Orthopedic Clinics,عيادات عظام,Health & Medical; الصحة والطب,Clinics; عيادات; medical center; health clinic,Orthopedic Clinics; عيادات عظام
Health & Medical,الصحة والطب,Clinics,عيادات,ENT Clinics,عيادات أنف وأذن وحنجرة,Health & Medical; الصحة والطب,Clinics; عيادات; medical center; health clinic,ENT Clinics; عيادات أنف وأذن وحنجرة
Health & Medical,الصحة والطب,Clinics,عيادات,Ophthalmology Clinics,عيادات عيون,Health & Medical; الصحة والطب,Clinics; عيادات; medical center; health clinic,Ophthalmology Clinics; عيادات عيون
Health & Medical,الصحة والطب,Clinics,عيادات,Cardiology Clinics,عيادات قلبية,Health & Medical; الصحة والطب,Clinics; عيادات; medical center; health clinic,Cardiology Clinics; عيادات قلبية
Health & Medical,الصحة والطب,Clinics,عيادات,Oncology Clinics,عيادات السرطان,Health & Medical; الصحة والطب,Clinics; عيادات; medical center; health clinic,Oncology Clinics; عيادات السرطان
Health & Medical,الصحة والطب,Clinics,عيادات,Psychiatry Clinics,عيادات الطب النفسي,Health & Medical; الصحة والطب,Clinics; عيادات; medical center; health clinic,Psychiatry Clinics; عيادات الطب النفسي
Health & Medical,الصحة والطب,Clinics,عيادات,Physiotherapy Clinics,عيادات العلاج الطبيعي,Health & Medical; الصحة والطب,Clinics; عيادات; medical center; health clinic,Physiotherapy Clinics; عيادات العلاج الطبيعي
Health & Medical,الصحة والطب,Clinics,عيادات,Nutrition & Diet,تغذية وحمية,Health & Medical; الصحة والطب,Clinics; عيادات; diet; dietary; medical center; health clinic,Nutrition & Diet; تغذية وحمية
Health & Medical,الصحة والطب,Clinics,عيادات,Rehabilitation Centers,مراكز التأهيل,Health & Medical; الصحة والطب,Clinics; عيادات; medical center; health clinic,Rehabilitation Centers; مراكز التأهيل
Health & Medical,الصحة والطب,Pharmacies,صيدليات,Retail Pharmacies,صيدليات تجزئة,Health & Medical; الصحة والطب,Pharmacies; صيدليات,Retail Pharmacies; صيدليات تجزئة
Health & Medical,الصحة والطب,Pharmacies,صيدليات,Online Pharmacies,صيدليات إلكترونية,Health & Medical; الصحة والطب,Pharmacies; صيدليات,Online Pharmacies; صيدليات إلكترونية
Health & Medical,الصحة والطب,Pharmacies,صيدليات,Compounding Pharmacies,صيدليات تركيب,Health & Medical; الصحة والطب,Pharmacies; صيدليات,Compounding Pharmacies; صيدليات تركيب
Health & Medical,الصحة والطب,Labs & Imaging,مختبرات وأشعة,Medical Laboratories,مختبرات طبية,Health & Medical; الصحة والطب,Labs & Imaging; مختبرات وأشعة; diagnostic imaging; radiology; laboratory; laboratories,Medical Laboratories; مختبرات طبية
Health & Medical,الصحة والطب,Labs & Imaging,مختبرات وأشعة,Radiology Centers,مراكز أشعة,Health & Medical; الصحة والطب,Labs & Imaging; مختبرات وأشعة; diagnostic imaging; radiology; laboratory; laboratories,Radiology Centers; مراكز أشعة
Health & Medical,الصحة والطب,Labs & Imaging,مختبرات وأشعة,MRI Centers,مراكز الرنين المغناطيسي,Health & Medical; الصحة والطب,Labs & Imaging; مختبرات وأشعة; diagnostic imaging; radiology; laboratory; laboratories,MRI Centers; مراكز الرنين المغناطيسي
Health & Medical,الصحة والطب,Labs & Imaging,مختبرات وأشعة,Blood Banks,بنوك الدم,Health & Medical; الصحة والطب,Labs & Imaging; مختبرات وأشعة; diagnostic imaging; radiology; laboratory; laboratories; financial institution; banking; banker,Blood Banks; بنوك الدم
Health & Medical,الصحة والطب,Alternative Medicine,الطب البديل,Herbal Medicine,طب الأعشاب,Health & Medical; الصحة والطب,Alternative Medicine; الطب البديل,Herbal Medicine; طب الأعشاب
Health & Medical,الصحة والطب,Alternative Medicine,الطب البديل,Hijama,حجامة,Health & Medical; الصحة والطب,Alternative Medicine; الطب البديل,Hijama; حجامة
Health & Medical,الصحة والطب,Alternative Medicine,الطب البديل,Acupuncture,الوخز بالإبر,Health & Medical; الصحة والطب,Alternative Medicine; الطب البديل,Acupuncture; الوخز بالإبر
Health & Medical,الصحة والطب,Rehab & Physiotherapy,العلاج الطبيعي وإعادة التأهيل,Physiotherapy Centers,مراكز العلاج الطبيعي,Health & Medical; الصحة والطب,Rehab & Physiotherapy; العلاج الطبيعي وإعادة التأهيل; rehabilitation; physiotherapy,Physiotherapy Centers; مراكز العلاج الطبيعي
